date_relative,text
14m,"🌍 Paid Parliamentary Internship for the Environment 2026–2027: Launch Your Career in Climate Policy! 🇨🇦 Are you passionate about climate change, sustainability, and policymaking? The Parliamentary Internship for the Environment (PIE) is your chance to work directly in Canada’s Parliament and gain real-world experience shaping environmental policy. 🚀 Benefits: 💼 Full-time internship with a Member of Parliament 💰 $3,200 monthly stipend + relocation support 🧠 Hands-on experience in policy, research & governance 🌱 Leadership training, mentorship & networking 🌍 Opportunity to lead your own community initiatives 📅 Deadline: May 24, 2026 🔗 Apply Now: https://wp.me/p23f03-laY 💡 Pro Tip: Highlight both your passion for the environment AND your interest in politics—this program values interdisciplinary thinkers! 📢 Don’t miss this chance to step into leadership and shape the future of sustainability. hashtag # EnvironmentalLeadership hashtag # InternshipOpportunity hashtag # ClimateAction hashtag # YouthLeadership hashtag # PublicPolicy hashtag # CanadaOpportunities hashtag # Sustainability hashtag # LeadershipDevelopment hashtag # GlobalOpportunities hashtag # ApplyNow"
14m,"🌟 BWIS Fellowship 2026 is OPEN! Calling all Black women in STEM—this is your moment! 💡✨ Join a transformative fellowship designed to boost your career, connect you with mentors, and plug you into a global network of innovators. 🔥 Benefits: 👩🏾‍🔬 Mentorship & career guidance 🌍 Global networking opportunities 📈 Skills development ⏰ Deadline: May 31, 2026 🔗 Read our article here: https://wp.me/p23f03-lbS 💡 Pro Tip: Share your story boldly—your unique journey matters! hashtag # WomenInSTEM hashtag # BlackExcellence hashtag # FellowshipOpportunity hashtag # STEMCareers hashtag # ApplyNow 🚀"
19m,"🚀 Now Hiring: Remote Research Officer at Southern Voice! Looking to make a global impact through research and policy? Southern Voice is hiring a Research Officer to support international development initiatives and amplify Global South perspectives. 🌍 Location: Remote 💰 Salary: $2,000–$2,200/month ⏳ Deadline: May 8, 2026 (rolling applications!) ✨ Why apply? Work on global, multi-country research projects Collaborate with top think tanks worldwide Contribute to SDG-focused policy discussions 🔗 Read our article: https://wp.me/p23f03-l4I 💡 Pro Tip: Apply early! Applications are reviewed on a rolling basis and the role may be filled before the deadline. 📢 Tag someone who should see this! hashtag # RemoteJobs hashtag # ResearchJobs hashtag # GlobalDevelopment hashtag # PolicyJobs hashtag # SDGs hashtag # ThinkTanks hashtag # InternationalDevelopment"
20m,"🌍 Remote Research Job Alert: GiveWell is Hiring Researchers Worldwide Looking for a high-impact career where your work can help save lives globally? GiveWell is recruiting Researchers to evaluate global health and poverty programs, shape funding decisions, and direct millions toward the most effective solutions. 💼 Salary: Up to $162,400/year 🌐 Location: Remote | Open Worldwide ✨ Benefits: ✔ Competitive salary ✔ Global remote flexibility ✔ Strong career growth ✔ Paid leave & insurance ✔ Relocation/visa support possible ✔ Real-world impact at scale ⏳ Deadline: No fixed deadline — applications reviewed on a rolling basis. Apply early. 🔗 Read our article here: https://wp.me/p23f03-kZW 💡 Pro Tip: Highlight your experience in research, data analysis, economics, policy, public health, statistics, or evidence-based decision-making. hashtag # RemoteJobs hashtag # ResearchJobs hashtag # GlobalHealth hashtag # InternationalJobs hashtag # WorkFromHome hashtag # HiringNow hashtag # DevelopmentJobs hashtag # EconomicsJobs hashtag # PublicHealthJobs hashtag # CareerOpportunity"
27m,"🌍 Celebrate Those Who Made Ottawa Feel Like Home Did someone help you settle into life in Ottawa? Now is your chance to recognize them! The Welcoming Ottawa Ambassadors Award 2026 honors individuals who have gone above and beyond to support immigrants and refugees in their journey. ✨ Why nominate? Celebrate kindness and inclusion Give recognition to community champions Inspire others to support newcomers 📅 Deadline: May 15, 2026 🔗 Read our article here: https://wp.me/p23f03-lbK 💡 Pro Tip: Share a personal, heartfelt story—specific examples of impact make nominations stand out. 📢 Help spread the word and uplift those who make Ottawa welcoming! hashtag # Ottawa hashtag # Immigrants hashtag # Inclusion hashtag # CommunityImpact hashtag # Awards hashtag # Canada hashtag # Refugees hashtag # Diversity"
29m,"🌍📚 Luena Scholars Grant 2026 – Funding for Community Education Projects! 💡 Are you a grassroots organization working to improve children’s education in Africa? 🚸✨ The Luena Scholars Grant 2026 is now open—offering microgrants to support impactful, community-led education solutions! 🌟 Benefits: 💰 Up to $1,500 in funding 🏫 Support for practical education projects 🌱 Community-driven impact 📚 Opportunities to improve access, safety & learning 📅 Deadline: ⏰ 31 May 2026 🔗 Apply Now: https://wp.me/p23f03-lbt 💡 Pro Tip: Focus on a simple, clear, and practical project with real impact—small, well-defined ideas have the highest success rate! Make a difference where it matters most—your community ❤️ hashtag # Grants2026 hashtag # AfricaOpportunities hashtag # EducationForAll hashtag # CommunityImpact hashtag # NGOFunding hashtag # Nonprofits hashtag # SocialImpact hashtag # ApplyNow hashtag # YouthDevelopment hashtag # SubSaharanAfrica"
36m,"🚀 Apply Now: Summer School on Managing Africa’s Extractive Future 2026 – Ghana Looking to grow your expertise in Africa’s energy, governance, and extractive industries? This prestigious training in Accra, Ghana offers a powerful learning experience for professionals across Anglophone Africa. ✅ Benefits: • Full & Partial Scholarships Available • Expert-led Training • Conference Access • Pan-African Networking • Mentorship & Alumni Community • Leadership & Policy Skills 📅 Deadline: 8 May 2026 🔗 For more information, read our article here: https://wp.me/p23f03-kLb 💡 Pro Tip: Apply early and clearly explain your professional impact, governance experience, and interest in energy transition issues. hashtag # Scholarships hashtag # AfricaOpportunities hashtag # EnergyTransition hashtag # Leadership hashtag # Governance hashtag # TrainingProgram hashtag # ProfessionalDevelopment hashtag # Ghana hashtag # FullyFunded hashtag # CareerGrowth"
36m,"🌍 Applications are now open for the AHSS Global Fellows Scheme 2026/27 at Queen’s University Belfast! This exciting international opportunity allows academics to spend 4–12 weeks in Belfast collaborating with researchers and developing shared projects. ✅ Benefits: • Up to £4,000 for travel & accommodation • Access to library resources • Courtesy desk in host School • Deliver a lecture/seminar/workshop • Build international collaborations 📅 Deadline: 26 June 2026 🔗 Read our article here: https://wp.me/p23f03-kZS 💡 Pro Tip: Reach out early to a potential host School and align your research proposal with their expertise before applying. hashtag # Fellowship hashtag # ResearchOpportunity hashtag # Academia hashtag # Scholarships hashtag # GlobalResearch hashtag # Belfast hashtag # HigherEducation hashtag # InternationalScholars"
36m,"🚀 Win $1 Million to Transform Education in the U.S.! 🚀 The Yass Prize 2026 is now open for education innovators, edtech founders, and organizations ready to scale their impact. Join a top-tier accelerator and compete for one of the largest prizes in education. 🌍 What you’ll gain: 💰 Compete for a $1,000,000 grand prize 🚀 Join a high-impact accelerator and bootcamp 🤝 Access a powerful network of education leaders and investors 🗓️ Deadline: 1 June 2026 👉 Learn more: https://wp.me/p23f03-ko1 💡 Pro tip: Clearly show how your solution is scalable and transforming education outcomes hashtag # EdTech hashtag # EducationInnovation hashtag # Startups hashtag # FundingOpportunity hashtag # Entrepreneurship hashtag # SocialImpact hashtag # EducationLeaders hashtag # Innovation hashtag # ApplyNow"
51m,"🌱 Wattle Fellowship 2026: Fully Funded Leadership Program + $2,000 Project Funding! Are you passionate about sustainability and ready to grow your leadership journey? The Wattle Fellowship is calling students from the University of Melbourne and La Trobe University to step up and create real impact. ✨ What You’ll Gain: ·      Fully funded workshops retreats & mentorship ·      Up to $2,000 for your sustainability project ·      Personal leadership coaching ·      Academic transcript recognition ·       A lifelong network of changemakers 📅 Deadline: 24 May 2026 🔗 Apply here: https://wp.me/p23f03-kTO 💡 Pro Tip: Don’t wait until you feel “perfect.” The program values authenticity, purpose, and action—not perfection. Apply even if you don’t tick every box! 🌍 Open to students from all disciplines—arts, science, engineering, policy, and more! hashtag # WattleFellowship hashtag # Sustainability hashtag # Leadership hashtag # FullyFunded hashtag # StudentOpportunities hashtag # Scholarships hashtag # ClimateAction hashtag # YouthLeadership hashtag # AustraliaOpportunities hashtag # ApplyNow"
