date_relative,text
4d,"🔥🌍 AmplifyChange Grants 2026: Unlock Up to £200,000 for NGOs Advancing SRHR & Social Impact Are you a civil society organization driving change in sexual and reproductive health and rights (SRHR)? The AmplifyChange Grants 2026 offer up to £200,000 in funding to help NGOs scale advocacy, influence policy, and create lasting impact in communities worldwide—especially across Africa. ✨ What’s in the Offer 💰 Grants of up to £200,000 🤝 Support for grassroots & growing organizations 🌍 Global networking & partnership opportunities 📊 Capacity-building for long-term advocacy 📢 Focus on systemic change and policy influence 👥 Who Can Apply ✔️ Civil society organizations & NGOs ✔️ Groups working on SRHR and gender equality ✔️ Grassroots and advocacy-focused initiatives ✔️ Organizations aiming for policy and systems change 🌟 Why Apply Access substantial funding to scale your impact Strengthen your advocacy and policy influence Join a global network of changemakers Drive long-term, sustainable social transformation 📅 Application Timeline 🗓️ Deadline: 16 June 2026 🔗 Apply Here 👉 https://wp.me/p23f03-eIP 💡 Pro Tip: Focus on advocacy impact over service delivery—strong applications clearly show how your work will influence policy, systems, or social norms. 🚀 Discover more global Grant & African opportunities on Opportunities for Youth (OFY): 👉 https://lnkd.in/ew7khSpp 👉 https://lnkd.in/dqZkTysz 📌 Save this post | 🔁 Share | 🏷️ Tag someone who needs to see this! hashtag # AmplifyChange hashtag # Grants2026 hashtag # NGOFunding hashtag # SRHR hashtag # AfricaOpportunities hashtag # DevelopmentSector hashtag # YouthEmpowerment hashtag # WomenEmpowerment hashtag # GlobalGrants hashtag # NonprofitFunding hashtag # SocialImpact"
4d,"🚀 TOP GLOBAL OPPORTUNITIES FOR WOMEN IN 2026 🌍✨ | Grants, Fellowships, Scholarships & Leadership Programs Are you a woman ready to lead, innovate, and create impact globally? 🌟 We’ve curated 12 powerful opportunities designed to support women across entrepreneurship, STEM, leadership, peacebuilding, and climate action. Whether you're a student, professional, or changemaker—this list is for YOU. 1️⃣ 🤖 VV Venture: AI for Impact 2026 Empowering women social entrepreneurs using AI for global impact 🔗 https://wp.me/p23f03-l1C 2️⃣ 💰 Trust by Design Fintech Challenge 2026 Win up to $50,000 to build trusted financial solutions for women 🔗 https://wp.me/p23f03-kYJ 3️⃣ 🔭 IAU Mini-Grant 2026 Funding to empower women and girls in astronomy & STEM 🔗 https://wp.me/p23f03-kXb 4️⃣ 🏛️ African Academy for Women in Political Leadership 2026 Fully funded UNDP programme for future African women leaders 🔗 https://wp.me/p23f03-kW7 5️⃣ 🧪 African Women in Science (AWIS) Program 2027–2028 Fully funded leadership & research opportunity for early-career scientists 🔗 https://wp.me/p23f03-kUg 6️⃣ 🇬🇧 TuWezeshe Fellowship 2026 (UK) Fully funded leadership programme for African & minoritised young women 🔗 https://wp.me/p23f03-kSc 7️⃣ 🌍 WIA Young Leaders Programme 2026 Global exposure, mentorship & networking for African women leaders 🔗 https://wp.me/p23f03-eSS 8️⃣ 🕊️ UN Women in Ceasefire Negotiations Course 2026 Online global training for women peacebuilders 🔗 https://wp.me/p23f03-eBo 9️⃣ 💎 Cartier Women’s Initiative 2027 Grants of up to $100,000 for women impact entrepreneurs 🔗 https://wp.me/p23f03-em1 🔟 🎓 British Council Scholarships for Women in STEM (2026–27) Fully funded Master’s degrees in the UK 🔗 https://wp.me/p23f03-jdo 1️⃣1️⃣ 🌱 Empowering Women for Climate Action Drive sustainable livelihoods & community resilience 🔗 https://wp.me/p23f03-kmF 1️⃣2️⃣ 🧬 L’Oréal-UNESCO For Women in Science SSA 2026 Fully funded research grants for African women scientists 🔗 https://wp.me/p23f03-kcb 💡 PRO TIP: Don’t wait for deadlines—start preparing your documents (CV, personal statement, recommendations) early and apply to multiple opportunities to increase your chances of success! ✨ Final Note: Discover even more life-changing opportunities for women worldwide here: 👉 https://lnkd.in/eUN3DM6y 📌 Save this post | 🔁 Share | 🏷️ Tag someone who needs to see this! hashtag # OpportunitiesForWomen hashtag # WomenInLeadership hashtag # WomenInSTEM hashtag # ScholarshipsForWomen hashtag # Fellowships hashtag # Grants hashtag # WomenEmpowerment hashtag # GlobalOpportunities hashtag # CareerGrowth hashtag # OFY"
5d,"🎓🌏 The University of Hong Kong (HKU) Global South Fellowship 2026: Fully Funded Research Visit to Hong Kong Are you a scholar from the Global South looking to expand your research internationally? The HKU Social Sciences Global South Fellowship Scheme 2026 offers a fully funded opportunity to collaborate, teach, and engage in cutting-edge research at the University of Hong Kong. ✨ What’s in the Offer ✈️ Travel support (up to HK$10,000) 🏠 Daily allowance of HK$1,500 🌍 International research collaboration 🎤 Teaching & academic engagement opportunities 📚 Access to world-class research facilities 👥 Who Can Apply ✔️ Scholars and researchers from the Global South ✔️ Academics in social sciences and related fields ✔️ Individuals seeking international collaboration ✔️ Applicants with strong research proposals 🌟 Why Apply Collaborate with top global researchers Gain exposure to international academic networks Access advanced research resources at HKU Enhance your academic profile and global impact 📅 Application Timeline 🗓️ Deadline: May 31, 2026 (Hong Kong Time) 🔗 Apply Here 👉 https://wp.me/p23f03-l5i 💡 Pro Tip: Secure a strong Faculty Associate at HKU early—this significantly increases your chances of selection. 🚀 For more global Fellowship opportunities, visit Opportunities for Youth (OFY): 👉 https://lnkd.in/eSWnXeGQ 📌 Save this post | 🔁 Share | 🏷️ Tag someone who needs to see this! hashtag # Fellowship hashtag # Research hashtag # GlobalSouth hashtag # Scholarships hashtag # AcademicOpportunities hashtag # OpportunitiesForYouth hashtag # HKU hashtag # InternationalResearch"
5d,"🚀🌍 W.K. Kellogg Foundation Grants 2026: Flexible Global Funding for Equity, Children & Community Impact Looking to scale your social impact project? The W.K. Kellogg Foundation (WKKF) Grants 2026 offer flexible, rolling funding for organizations worldwide working to advance equity, child wellbeing, and community development. This is your chance to partner with a globally recognized foundation and drive long-term change. ✨ What’s in the Offer 💰 Funding for high-impact projects 🌍 Support for education, health & equity initiatives ⏳ Rolling applications (apply anytime) 🤝 Global recognition & strategic partnership 📈 Opportunities for long-term collaboration 👥 Who Can Apply ✔️ Nonprofits, NGOs, and mission-driven organizations ✔️ Initiatives focused on children, families, and communities ✔️ Projects advancing equity and systemic change ✔️ Organizations with scalable, impact-driven solutions 🌟 Why Apply Access flexible funding tailored to your project Partner with a globally respected foundation Scale your impact with long-term support Contribute to sustainable, community-driven change 📅 Application Timeline 🗓️ Deadline: No deadline (Applications open year-round) 🔗 Apply Here 👉 https://wp.me/p23f03-l4Z 💡 Pro Tip: Align your proposal clearly with equity, child wellbeing, and community impact—these are central to WKKF’s mission and selection criteria. 🚀 Discover more global Grant opportunities on Opportunities for Youth (OFY): 👉 https://lnkd.in/ew7khSpp 📌 Save this post | 🔁 Share | 🏷️ Tag someone who needs to see this! hashtag # Grants hashtag # Funding hashtag # Nonprofits hashtag # Development hashtag # SocialImpact hashtag # OpportunitiesForYouth hashtag # NGOs hashtag # GlobalFunding hashtag # CommunityDevelopment"
5d,"Looking to use your analytical skills to fight global poverty and drive real impact? GiveWell is hiring Researchers (Remote Worldwide)—a top-tier opportunity in global development, public health, and evidence-based policy. 🔗 Apply Now: https://lnkd.in/eykTAN77 💼 Role: Researcher 🌐 Location: Remote (Global) 💰 Salary: Up to $162,400/year 📈 Career Growth: Senior pathways available ⏳ Deadline: Rolling (Apply ASAP!) ✨ Why Apply? ✔️ Work on high-impact global health & poverty programs ✔️ Competitive salary + strong benefits ✔️ Flexible remote work 🌍 ✔️ Influence funding decisions that save lives 🔗 Apply Now: https://lnkd.in/eykTAN77 🎯 Ideal Backgrounds: 📊 Economics | Public Policy | Public Health 📈 Data Analysis | Statistics | Research 🌍 Global Development | Impact Evaluation 💡 Pro Tip: Highlight quantitative skills, research experience, and impact-focused work—especially in health, policy, or development. 📣 Apply • Save • Share • Tag someone 🔗 For more research related opportunities, please visit https://lnkd.in/eFjZ5_hp hashtag # RemoteJobs hashtag # GlobalCareers hashtag # ResearchJobs hashtag # PublicHealth hashtag # Economics hashtag # DataScience hashtag # GlobalDevelopment hashtag # ImpactJobs hashtag # WorkFromAnywhere hashtag # HiringNow hashtag # NonprofitJobs hashtag # PolicyJobs 🚀"
5d,"Looking to launch your career in international development, finance, data, or communications? The Caribbean Development Bank (CDB) is now recruiting for its prestigious Young Professionals Programme (YPP) 2026–2028! 👉 Apply Now: https://lnkd.in/ezQKQWWa 📍 Location: Barbados 💰 Salary: USD $60,600/year 📅 Duration: 2 Years 🌐 Open to nationals of 28 member countries (including UK, Canada, Jamaica, Nigeria diaspora links, etc.) 💼 Available Roles: 👨🏾‍💻 Human Resources Data Analyst 📹 Digital Communications 👩🏿‍💻 Data Analytics & Information Management 🕴🏻 Private Sector Development 🎯 Eligibility: ✔️ Relevant degree (Data, Econ, Media, HR, etc.) ✔️ National of a CDB member country 🎁 What You Get: ✨ Competitive international salary ✈️ Full relocation (family included) 🏥 Premium medical insurance 🌴 Work in Barbados (global HQ) 📈 Career pathway into international development 📅 Deadline: May 15, 2026 👉 Apply Now: https://lnkd.in/ezQKQWWa 💡 Pro Tip: Tailor your CV to highlight data skills, policy analysis, communications, or development impact—and clearly show how your experience connects to real-world development challenges. 📣 Apply • Save • Share • Tag someone who needs this! 🌐 For more jobs & internships worldwide, visit: https://lnkd.in/eUVjS7vT or https://lnkd.in/eb4yPQnf hashtag # Jobs hashtag # Internships hashtag # YoungProfessionals hashtag # InternationalDevelopment hashtag # Caribbean hashtag # CDB hashtag # DataJobs hashtag # CommunicationsJobs hashtag # FinanceJobs hashtag # PublicPolicy hashtag # DevelopmentCareers hashtag # GlobalOpportunities hashtag # ApplyNow hashtag # FullyPaid hashtag # YouthOpportunities hashtag # OFY 🚀"
5d,"🚀 SIEF Call for Proposals 2026 is Now Open! Are you working on innovative ways to improve children’s learning using technology? The Strategic Impact Evaluation Fund (SIEF), hosted by the World Bank, is inviting applications for its 8th Call for Proposals on EdTech for Foundational Learning! This is your chance to secure funding for rigorous, policy-relevant research that tests how technology can boost foundational skills like literacy and numeracy. 🌍📚 🌟 Benefits ✅ Research funding support ✅ Contribute to global education policy ✅ Collaborate with leading experts & institutions ✅ Generate real-world impact in foundational learning ⏰ Deadlines 📝 Quick Assessment Form: April 22, 2026 📝 Main Application :May 19, 2026 🔗 Application Links: https://wp.me/p23f03-kGC 💡 Pro Tip Focus on low-cost, scalable solutions with clear measurable outcomes. Strong proposals combine innovation with practical policy relevance! hashtag # SIEF hashtag # WorldBank hashtag # EdTech hashtag # ResearchFunding hashtag # EducationInnovation hashtag # FoundationalLearning hashtag # Grants2026 hashtag # ImpactEvaluation hashtag # GlobalEducation"
6d,"Embassy of Switzerland in Nepal is Hiring! Looking for a rewarding career in the development sector? The Embassy of Switzerland in Nepal is seeking a National Programme Officer – Technical and Vocational Education and Training (TVET) for a 2-year fixed-term contract with the possibility of extension. This is a great opportunity for experienced professionals passionate about education, skills development, migration, and policy reform in Nepal. ✨ Benefits: ✅ Work with an internationally respected development partner ✅ Competitive professional opportunity in the development sector ✅ Lead impactful TVET and migration projects ✅ Engage in high-level policy dialogue with government and donors ✅ Opportunity for contract extension 📅 Deadline: 3 May 2026 (5:00 PM NST) 📩 How to Apply: https://wp.me/p23f03-l0M 💡 Pro Tip: Highlight your experience in TVET, project cycle management, private sector development, and policy engagement. Strong English and Nepali communication skills will give you an advantage! hashtag # SwitzerlandEmbassy hashtag # NepalJobs hashtag # TVETJobs hashtag # DevelopmentJobs hashtag # KathmanduJobs hashtag # EmbassyJobs hashtag # InternationalDevelopment hashtag # VocationalTraining hashtag # CareerOpportunity hashtag # ApplyNow hashtag # NGOJobs hashtag # DevelopmentSector"
5d,"🌱🚀 Hiring that makesense Accelerator 2026: Funding & Hiring Support for Climate Organisations in Southeast Asia Looking to grow your climate-focused team in Southeast Asia? The Hiring that makesense Accelerator 2026 is a powerful 3-month programme designed to help mission-driven organisations recruit smarter, access funding, and successfully hire top talent by August 2026. 🔗 Apply Here 👉 https://wp.me/p23f03-l1l ✨ What’s in the Offer 💰 $1,000 participation grant 🚀 Opportunity to unlock $5,000–$10,000 additional funding 🎯 Expert coaching to strengthen hiring strategy 👥 Access to a pool of climate-focused job seekers 📈 Structured support to achieve successful hires 👥 Who Can Apply ✔️ Climate and environmental organisations in Southeast Asia ✔️ NGOs, startups, and mission-driven teams ✔️ Organisations actively looking to hire new talent ✔️ Teams committed to scaling climate impact 🌟 Why Apply Secure funding to support your hiring process Build a strong and effective recruitment strategy Connect with skilled climate professionals Strengthen your organisation’s long-term impact and growth 📅 Application Timeline 🗓️ Deadline: May 10, 2026 🔗 Apply Here 👉 https://wp.me/p23f03-l1l 💡 Pro Tip: Clearly define your hiring needs and expected impact—demonstrate how a new team member will strengthen your mission and outcomes. 🚀 For more global Job & Asian opportunities, visit Opportunities for Youth (OFY): 👉 https://lnkd.in/ew7khSpp 👉 https://lnkd.in/dqZkTysz 📌 Save this post | 🔁 Share | 🏷️ Tag someone who needs to see this! hashtag # ClimateJobs hashtag # SoutheastAsia hashtag # NonprofitLeadership hashtag # HiringSupport hashtag # GreenJobs hashtag # SocialImpact hashtag # YouthOpportunities hashtag # ClimateAction"
6d,"Looking to launch your career in international development, migration, or humanitarian work? The IOM Internship Programme 2026 is now open with multiple paid opportunities worldwide — both remote and on-site. 🔗 Apply Now: https://lnkd.in/ee4hSjcC 💼 Why You Should Apply: 💰 Paid internships (stipends available) 🌍 Global locations (Uganda, Iraq, France, Switzerland, Qatar & more) 📊 Hands-on experience in migration, policy & humanitarian work 🤝 Work with a leading UN agency 🧑‍💻 Remote + on-site opportunities 🎯 Who Can Apply: ✔️ Students & recent graduates ✔️ Backgrounds in IR, development, migration, social sciences ✔️ Passion for global impact & humanitarian work 🔗 Apply Now: https://lnkd.in/ee4hSjcC 📅 Deadline: Rolling (varies by position — apply early) 💡 Pro Tip: Tailor your CV and cover letter to highlight migration, research, or humanitarian experience. Even academic projects or volunteer work in related areas can significantly boost your chances. 📣 Apply • Save • Share • Tag someone who should not miss this 🌐 For more internship opportunities worldwide: https://lnkd.in/ec22N8Bc hashtag # UNInternships hashtag # IOM hashtag # PaidInternship hashtag # InternationalDevelopment hashtag # HumanitarianCareers hashtag # Migration hashtag # GlobalCareers hashtag # Students hashtag # Graduates hashtag # InternshipOpportunity hashtag # UnitedNations hashtag # YouthOpportunities hashtag # ApplyNow hashtag # OFY hashtag # CareersAbroad hashtag # DevelopmentJobs hashtag # GlobalJobs"
